Date,BBCA.JK,TLKM.JK,ASII.JK,BBRI.JK,SIDO.JK,PGAS.JK,ADRO.JK,KAEF.JK,ANTM.JK,INDY.JK
2023-06-05,60.1712,48.0657,72.8258,57.8565,26.058,57.9528,34.5254,13.8154,48.05,33.4095
2023-06-06,57.4995,48.9151,71.2421,58.9844,41.2475,56.8078,43.1768,20.272,52.5295,43.0335
2023-06-07,54.8755,53.7975,71.2421,55.7696,37.1394,54.4891,40.7601,49.0477,53.7564,42.0518
2023-06-08,55.9577,55.3301,69.4895,59.3486,45.0043,55.4678,42.8279,47.7227,48.9844,46.4382
2023-06-09,54.5488,53.4217,70.277,56.0901,48.4755,55.4678,42.2979,46.3737,47.6821,45.3297
2023-06-12,56.8868,58.8104,68.3765,54.4794,48.4755,61.0797,43.7959,46.3737,50.5158,45.7942
2023-06-13,56.8868,56.7196,66.4415,61.6037,46.7639,58.0556,43.7959,46.3737,52.5899,44.1773
2023-06-14,52.2143,53.6392,71.6292,61.6037,46.7639,58.0556,46.9882,44.7922,55.2812,53.0949
2023-06-15,50.7188,55.379,69.6954,59.7948,41.6475,60.3333,50.7535,43.2054,56.6076,55.0291
2023-06-16,50.7188,50.2971,67.7263,61.0272,38.6144,58.6193,52.2155,43.2054,59.2132,51.8081
2023-06-19,47.5593,49.3223,68.6793,59.077,37.1572,59.8477,47.6455,41.5004,53.9774,48.7361
2023-06-20,50.8562,52.3086,62.6981,60.4385,37.1572,59.8477,48.4553,60.1363,52.3168,47.4378
2023-06-21,55.387,51.225,67.7407,61.8069,34.1667,55.9922,47.6614,56.6055,50.639,47.9357
2023-06-22,50.3845,47.0284,57.6665,53.7919,36.9012,57.4676,47.6614,50.2507,50.639,48.4614
2023-06-23,50.3845,48.1715,57.6665,48.692,42.0828,55.465,45.0912,47.3862,50.639,46.9304
2023-06-26,52.0584,52.5799,58.8494,51.9618,40.3008,55.465,43.4105,45.975,54.3515,44.8938
2023-06-27,56.7705,53.6415,57.1302,50.2379,40.3008,55.465,45.5944,45.975,54.3515,46.1521
2023-07-03,51.3366,53.6415,59.6679,53.5567,38.4143,57.3225,54.9548,49.4658,57.2216,50.4192
2023-07-04,49.6313,49.7652,56.0921,51.7,38.4143,66.3822,55.7742,63.4527,58.1658,52.1685
2023-07-05,49.6313,51.0354,56.0921,51.7,36.4361,67.6161,61.7664,63.4527,60.9504,63.3189
2023-07-06,51.4998,48.3996,57.5667,49.7018,42.7823,71.0492,63.7499,65.4681,66.5459,64.792
2023-07-07,47.6894,48.3996,59.0479,45.8821,42.7823,66.0241,56.3978,63.5802,55.5287,56.2735
2023-07-10,49.6936,46.9922,54.919,48.0326,42.7823,66.0241,59.2872,65.71,56.3926,57.9737
2023-07-11,47.7245,51.5444,56.5548,50.1652,51.7981,61.0189,60.0008,65.71,59.7599,57.9737
2023-07-12,58.3807,51.5444,54.4279,52.2744,51.7981,61.0189,53.8965,53.1043,57.3743,55.4723
2023-07-13,54.4,42.9825,56.2017,52.2744,41.6497,61.0189,49.3872,58.056,57.3743,55.4723
2023-07-14,58.9243,44.6332,51.8545,58.4003,39.5629,67.2253,52.7901,60.3124,59.2604,58.5812
2023-07-17,56.8978,42.0134,46.0949,61.9104,39.5629,69.8133,54.4395,57.0096,56.565,59.5939
2023-07-18,54.8657,35.3163,39.7545,65.0832,37.3901,66.966,49.759,58.2409,56.565,53.9152
2023-07-20,54.8657,35.3163,37.0131,65.0832,28.8567,68.3558,53.2238,56.4982,56.565,56.1644
2023-07-21,54.8657,37.2498,33.3033,65.0832,35.2249,70.9851,57.1975,54.7344,52.1234,59.3678
2023-07-24,50.3718,44.4078,41.6946,61.865,35.2249,74.4187,60.785,56.2067,52.1234,63.2266
2023-07-25,54.3946,41.838,39.0492,65.5355,33.4867,63.61,56.6913,54.3045,52.1234,58.7223
2023-07-26,66.1974,41.838,46.377,67.2337,30.2696,66.2495,61.5691,55.9114,55.0615,67.1286
2023-07-27,56.3769,27.2221,42.2722,63.8458,22.2225,57.298,56.6602,53.8713,50.0953,59.3223
2023-07-28,49.9878,27.2221,48.7816,67.3855,20.5421,58.7969,58.0993,51.8344,47.0487,60.154
2023-07-31,49.9878,27.2221,59.7728,60.9583,20.5421,56.6552,52.4704,57.0775,54.4989,44.1238
2023-08-01,49.9878,32.7258,60.7799,64.595,20.5421,62.5339,50.7069,69.1375,65.8745,41.5918
2023-08-02,54.7875,28.142,59.1842,64.595,16.6185,60.3309,48.9356,60.0521,57.4391,41.2279
2023-08-03,57.7019,33.1815,57.5569,64.595,30.8438,61.7809,48.0322,58.3992,57.4391,44.865
2023-08-04,50.6674,30.8514,55.9017,50.0405,30.8438,63.2283,51.8606,60.7274,59.4467,45.8953
2023-08-07,57.6221,30.0928,59.6507,59.796,35.9157,64.6693,49.8819,52.7753,63.1867,43.6969
2023-08-08,52.8114,38.2663,57.8842,53.0966,38.3503,66.0999,48.8777,49.9573,54.9938,44.2719
2023-08-09,61.9372,43.9157,59.1858,58.1465,34.1578,63.3379,51.9996,43.6782,54.9938,43.7903
2023-08-10,61.9372,47.7758,50.7415,58.1465,34.1578,64.9166,53.0293,46.571,49.983,49.151
